"papel","descricao_papel","cotacao","PSL","PSVP","PSR","div_yield","PSA","PSCG","PSEBIT","PSACL","EV_EBIT","EV_EBITDA","margem_EBIT","margem_liq","liq_corrente","ROIC","ROE","liq_2meses","PL","div_bruta_PL","taxa_cresc_RL_5anos"
"CLAN3","CLARION",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105,0,1012240000,0,-0.6396
"POPR4","POLIPROPILENO S.A.",10.17,0,0,0,0,0,0,0,0,0,0,0.0866,0.0565,1.08,0.1525,0.1993,0,545803000,0.82,0.3093
"MNSA3","MANASA",0.42,0,0,0,0,0,0,0,0,0,0,-2.0815,-3.6266,3.63,-0.135,1.457,0,-9105000,-6.52,-0.4111
"CSTB4","COMPANHIA SIDERÚRGICA DE TUBARÃO",147.69,0,0,0,0,0,0,0,0,0,0,0.4085,0.2898,2.6,0.224,0.2011,0,8420670000,0.14,0.3191
"CSTB3","COMPANHIA SIDERÚRGICA DE TUBARÃO",150,0,0,0,0,0,0,0,0,0,0,0.4085,0.2898,2.6,0.224,0.2011,0,8420670000,0.14,0.3191
"CFLU4","COCA COLA",1000,0,0,0,0,0,0,0,0,0,0,0.0888,0.1072,1.1,0.1768,0.3215,0,60351000,0.06,0.0814
"PORP4","POLIPROPILENO PARTICIPAÇÕES S.A.",2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208,0,22399000,0,0.1366
"IVTT3","BHG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004,0,1083050000,0,0.2067
"MNSA4","MANASA",0.47,0,0,0,0,0,0,0,0,0,0,-2.0815,-3.6266,3.63,-0.135,1.457,0,-9105000,-6.52,-0.4111
"PMET3","PRO METALURG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0,-290863000,0,0.3774
"GNDI3","INTERMEDICA",66.95,-3584.82,5.84,3.423,0.0239,2.378,79.65,87.05,-6.21,91.13,50.88,0.0393,-0.0009,1.17,0.0309,-0.0016,0,7116080000,0.53,0.2523
"CALI4","CAL S/A",50,-1134.45,6.27,3.665,0,0.757,6.97,-9,-1.32,-11.45,-12.81,-0.407,-0.0032,1.55,-0.0889,-0.0055,0,29660000,1.98,0.3685
"VSTE3","VESTE",8.42,-590.7,0.93,0.885,0.0056,0.585,4.74,28.39,-8.39,36.63,5.91,0.0312,-0.0015,1.69,0.0229,-0.0016,201775,1031380000,0.31,0.1482
"CALI3","CAL S/A",25,-567.23,3.14,1.832,0.0247,0.378,3.49,-4.5,-0.66,-6.95,-7.78,-0.407,-0.0032,1.55,-0.0889,-0.0055,58.14,29660000,1.98,0.3685
"PLDN4","POLIALDEN",486,-553.07,1.08,0.919,0,0.611,1.07,-75.56,3.1,-33.12,-33.12,-0.0122,-0.0017,10.81,-0.0127,-0.002,0,289939000,0.01,0.1026
"GPAR3","CELGPAR",47,-511.8,4.87,250.926,0,4.54,16.21,634.39,20.16,603.58,608.73,0.3955,-0.4903,21.74,0.0094,-0.0095,109.3,768483000,0.02,-0.634
"LCSA4","NÃO  CONSTA",35.09,-337.52,-228,79.738,0,125.308,-202.27,-505.8,-96.61,-506.56,-506.56,-0.1577,-0.2363,0.29,-0.2874,0.6755,0,-377568000,-0.35,63.5407
"BHGR3","BHG",19.1,-272.16,1.1,3.613,0,0.855,-194.45,23.7,-8.56,25.95,14.2,0.1524,-0.0131,0.96,0.0393,-0.004,0,1077600000,0.2,0.2067
"DMMO3","DOMMO",1.76,-258.65,-1.72,2.854,0,3.346,11.9,6.37,-1.37,5.9,5.42,0.4481,-0.011,2.25,0.7039,0.0066,0,-553275000,0,-0.1737
"RJCP3","RJCP EQUITY",0.01,-224.7,0.65,0,0,0.619,0,-522.94,0,-523.96,-917.32,0,0,0,0,-0.0029,0,17287200,0,0
"ABYA3","ABYARA",4.91,-214.8,1.76,2.055,0,0.527,1.98,19.96,-2.75,33.67,33.67,0.1029,-0.0096,2.09,0.0278,-0.0082,0,292060000,1.31,0.1641
"PITI4","AV. DR CHUCRI ZAIDAN, 920 - 16§ ANDAR",1.28,-204.74,0,0,0,0,0,-2637.65,0,-2637.65,111.07,0,0,0,0,0,0,0,0,-0.2963
"MGEL3","MANGELS",25,-173.57,6.25,0.156,0,0.19,0.87,2.09,-0.4,10.29,7.87,0.0746,-0.0009,1.78,0.1054,-0.036,0,23116000,27.5,0.138
"SCLO3","SCHLOSSER TECIDOS",14.1,-161.14,-96.94,0,0,280.04,-93.32,-161.14,-87.5,-161.38,-161.38,0,0,0.19,-2.0597,0.6016,0,-139635,-0.19,0
"LCSA3","NÃO  CONSTA",12.5,-120.23,-81.22,28.405,0,44.638,-72.05,-180.18,-34.41,-180.95,-180.95,-0.1577,-0.2363,0.29,-0.2874,0.6755,0,-377568000,-0.35,63.5407
"MAGG3","MAGNESITA REFRATÁRIOS",59.4,-119.98,1.32,0.684,0,0.44,9.32,4.07,-1.55,6.41,5.34,0.1682,-0.0057,1.14,0.1405,-0.011,0,2246130000,1.03,0.0927
"SQIA3","SINQIA",27.37,-110.33,3.7,3.592,0,1.49,25.87,62.33,-3.84,67.32,18.5,0.0576,-0.0288,1.43,0.0281,-0.0335,0,650717000,0.65,0.4632
"NATU3","NATURA COSMETICOS SA",36.86,-109.22,3.66,2.066,0,1.74,5.31,10.44,13.36,10.19,9.79,0.198,-0.0189,2,0.2758,-0.0335,0,9265610000,0.26,-0.0725
"AMBP3","AMBIPAR",170,-99.8,16.08,4.618,0,2.004,7.27,24.6,-5.17,28.83,19.87,0.1877,-0.0217,3.01,0.1135,-0.1611,33587100,1765850000,4.87,0.5961
"LINX3","LINX",37.4,-90.95,4.38,7.885,0.0152,2.745,11.96,53.17,47.06,51.49,22.97,0.1483,-0.0867,2.14,0.0682,-0.0481,0,1619010000,0.22,0.1554
