Algorithm,RMSE
Decision Tree,0.00013263505748763497
KNN,8.06345931829814e-05
MLP,0.0019744108216112107
Random Forest,4.257754379789656e-05
AdaBoost,0.0008003222108422994
Gradient Boosting,0.00013320965025190754
Decision Tree,0.0003354802405815296
KNN,0.0006596186467431886
MLP,0.0040934929853248736
Random Forest,0.0006940783625533364
AdaBoost,0.006228494100847174
Gradient Boosting,0.00033541529524944467
Decision Tree,0.0002713627414809726
KNN,0.0001428735058835054
MLP,0.00942376681614571
Random Forest,8.963124780570874e-05
AdaBoost,0.0010974213840973625
Gradient Boosting,0.00027080436317104237
Decision Tree,0.0001337705853918633
KNN,9.487471922070463e-05
MLP,0.005745653322583621
Random Forest,0.00013142758960518622
AdaBoost,0.0016937601097629614
Gradient Boosting,0.00013363891949510142
Decision Tree,8.423483577947428e-05
KNN,5.167780648013037e-05
MLP,0.0011141713501807938
Random Forest,4.8257984070166076e-05
AdaBoost,0.0029870174472452324
Gradient Boosting,8.37919414963101e-05
Decision Tree,8.752293828920861e-05
KNN,7.848915110266585e-05
MLP,0.0057638136711438805
Random Forest,7.497562235846089e-05
AdaBoost,0.001378864943570868
Gradient Boosting,8.721789972212897e-05
Decision Tree,0.0005966301521730874
KNN,0.0004687827875003569
MLP,0.003446454989706503
Random Forest,0.00034204792561164804
AdaBoost,0.0051673490612863604
Gradient Boosting,0.0005965118036188714
Decision Tree,6.815213676561303e-05
KNN,4.9105932977134106e-05
MLP,0.0007525855389449765
Random Forest,4.3645027320948495e-05
AdaBoost,0.003912734033608307
Gradient Boosting,6.752305700071458e-05
Decision Tree,4.4317321096956007e-05
KNN,3.3466226151860105e-05
MLP,0.0010575901776215051
Random Forest,4.31411529512831e-05
AdaBoost,0.0015390216792588514
Gradient Boosting,4.4933909363440064e-05
Decision Tree,4.917243336852997e-05
KNN,2.5753724446667025e-05
MLP,0.004028750257905837
Random Forest,3.311677845366955e-05
AdaBoost,0.0018495345368376836
Gradient Boosting,4.882987736237946e-05
Decision Tree,4.733588119024075e-05
KNN,4.191750346422689e-05
MLP,0.0010995294217819522
Random Forest,4.3033895062736594e-05
AdaBoost,0.0020880424460460742
Gradient Boosting,4.764464033308194e-05
Decision Tree,4.9409656882087354e-05
KNN,5.406134088661811e-05
MLP,0.000861785587790518
Random Forest,4.900971414313871e-05
AdaBoost,0.0022369349047837426
Gradient Boosting,5.5462712588599176e-05
Decision Tree,5.524594396477648e-05
KNN,4.934292495706136e-05
MLP,0.0029126576729308143
Random Forest,6.003690482603918e-05
AdaBoost,0.0010242416711832426
Gradient Boosting,5.535732374571682e-05
Decision Tree,8.608462836689249e-05
KNN,6.217956738173669e-05
MLP,0.002286513785465247
Random Forest,7.171971061415478e-05
AdaBoost,0.0020490065232671817
Gradient Boosting,8.292395147142184e-05
Decision Tree,8.641996488135442e-05
KNN,4.710903559245366e-05
MLP,0.0025449519989147787
Random Forest,4.899437780747003e-05
AdaBoost,0.001103474296784297
Gradient Boosting,8.635254835613475e-05
Decision Tree,0.00010353309125620867
KNN,6.354028730056053e-05
MLP,0.0005917715669132877
Random Forest,7.509019209303483e-05
AdaBoost,0.002571095144206307
Gradient Boosting,0.00010274783849253278
Decision Tree,0.00010988325151535934
KNN,7.999694073934178e-05
MLP,0.002413032953959613
Random Forest,8.222432857364083e-05
AdaBoost,0.0012612880765589486
Gradient Boosting,0.00010970322323147575
Decision Tree,6.872442621166705e-05
KNN,5.584467727468082e-05
MLP,0.00411909841766994
Random Forest,4.795640163218486e-05
AdaBoost,0.0026310393596697436
Gradient Boosting,6.857342493762013e-05
Decision Tree,0.00010976370697140687
KNN,0.00011391373665238466
MLP,0.003538977908934512
Random Forest,8.797949979433608e-05
AdaBoost,0.0010678418406627498
Gradient Boosting,0.00010973233825854753
Decision Tree,3.7472046084000205e-05
KNN,2.6025089442380987e-05
MLP,0.002923128931557672
Random Forest,2.4247311865978897e-05
AdaBoost,0.0015491843161301545
Gradient Boosting,4.025746310981381e-05
Decision Tree,0.03796985064139453
KNN,0.04049241237162981
MLP,0.040512313081421746
Random Forest,0.03936813973198131
AdaBoost,0.041792834148928364
Gradient Boosting,0.037969917493643
Decision Tree,6.92620800052242e-05
KNN,6.286910396947529e-05
MLP,0.004390841472357758
Random Forest,6.531672655132142e-05
AdaBoost,0.0022808359141106675
Gradient Boosting,6.98608980016403e-05
Decision Tree,7.302306440831963e-05
KNN,3.544208198071068e-05
MLP,0.0017792233407696357
Random Forest,4.680704524295154e-05
AdaBoost,0.0013120200273016443
Gradient Boosting,7.316796136173975e-05
Decision Tree,0.0005919700141652315
KNN,0.00025803986508047926
MLP,0.0015493143613762562
Random Forest,0.0006733418268500328
AdaBoost,0.003718664170541358
Gradient Boosting,0.0005914322827799269
Decision Tree,7.334500449740387e-05
KNN,8.054376287295372e-05
MLP,0.0023432970229118363
Random Forest,9.880173948572091e-05
AdaBoost,0.003724425527437517
Gradient Boosting,7.620908356562376e-05
Decision Tree,0.00024127515305037207
KNN,0.00010356693897019049
MLP,0.008373594951216744
Random Forest,0.00015664068861777244
AdaBoost,0.001433155406767598
Gradient Boosting,0.0002411333922433739
Decision Tree,0.00011707761395481936
KNN,0.00011548056033914771
MLP,0.006823515325606787
Random Forest,0.00012360045160706427
AdaBoost,0.0023563983168643676
Gradient Boosting,0.00011318904601496697
Decision Tree,7.645179992258147e-05
KNN,7.133144122930162e-05
MLP,0.0010764269488615901
Random Forest,6.959021211416089e-05
AdaBoost,0.002398299042099536
Gradient Boosting,7.599468275733952e-05
Decision Tree,8.950908292114137e-05
KNN,0.00010891566651504689
MLP,0.008868686432458596
Random Forest,8.969341728810049e-05
AdaBoost,0.0012331196652933924
Gradient Boosting,8.821751067393768e-05
Decision Tree,0.00016419906874763575
KNN,9.957124523485765e-05
MLP,0.0021892422167930858
Random Forest,9.021536262840658e-05
AdaBoost,0.0038322493824857287
Gradient Boosting,0.00016448469088200767
Decision Tree,0.0010061727931057589
KNN,0.0020950062525513253
MLP,0.004238063283970729
Random Forest,0.0029348362529897387
AdaBoost,0.008061744832219
Gradient Boosting,0.001006216757377497
Decision Tree,6.213437324545008e-05
KNN,6.193134493460161e-05
MLP,0.007836617459761908
Random Forest,5.570112388144802e-05
AdaBoost,0.001485037162448993
Gradient Boosting,6.143302017501177e-05
Decision Tree,8.962909051844267e-05
KNN,4.273085929172023e-05
MLP,0.0058543035056900766
Random Forest,4.5649590434674645e-05
AdaBoost,0.0013280892397988084
Gradient Boosting,8.958652343935289e-05
Decision Tree,0.00023451613891456902
KNN,0.00010962780471505372
MLP,0.017430875779931423
Random Forest,0.00018288904480465016
AdaBoost,0.001906181195001484
Gradient Boosting,0.0002344465472278522
Decision Tree,0.0001529038596558938
KNN,0.00019973347325762719
MLP,0.0025380463903408217
Random Forest,0.00021598237769120484
AdaBoost,0.00220466535736971
Gradient Boosting,0.00015288352459414946
Decision Tree,8.754851857847645e-05
KNN,8.975164253431871e-05
MLP,0.0040867422534824945
Random Forest,9.882210612288385e-05
AdaBoost,0.0030710483820234067
