Algorithm,RMSE,MAPE,Ticker
Decision Tree,2.8966500837675664,0.0814796542804176,ABEV3
KNN,2.9717072318584377,0.07787551562485286,ABEV3
MLP,2.965282244632196,0.07183790875446679,ABEV3
Random Forest,2.912043798272915,0.07616747057527323,ABEV3
AdaBoost,2.946081237829648,0.07314217035938027,ABEV3
Gradient Boosting,2.9447509581837,0.07468471322282047,ABEV3
Decision Tree,1.2891490198179125,0.034644505415512075,AGRO3
KNN,1.3156298451395112,0.03412613416952375,AGRO3
MLP,1.2180689497860464,0.032617151384875025,AGRO3
Random Forest,1.266060170982321,0.033241829964906315,AGRO3
AdaBoost,1.253058179387319,0.03247121388306878,AGRO3
Gradient Boosting,1.2593129087577448,0.032212441402004285,AGRO3
Decision Tree,1158.7056413199737,0.193992528382099,ALOS3
KNN,1158.6906720550805,0.17940245313002437,ALOS3
MLP,1158.5073315834577,0.1871790729402006,ALOS3
Random Forest,1158.7360430182234,0.18115962787127285,ALOS3
AdaBoost,1158.7634353891065,0.17511557810555675,ALOS3
Gradient Boosting,1158.7021953805788,0.17822152388842613,ALOS3
Decision Tree,10.68416319887051,0.8888873348907268,AMER3
KNN,30.665670228727794,4.760819524664958,AMER3
MLP,34.43385963563689,6.4477157338439035,AMER3
Random Forest,9.741695596923588,0.9114880640249999,AMER3
AdaBoost,32.7254352600196,7.357016803962486,AMER3
Gradient Boosting,9.71501312462475,0.9359245130901518,AMER3
Decision Tree,1.9110257309904766,0.11233612745575555,ARML3
KNN,1.9396269634385033,0.1585120029739833,ARML3
MLP,1.9102521360578577,0.10793197623586658,ARML3
Random Forest,1.898686808655305,0.12206173403343934,ARML3
AdaBoost,1.9113457129549745,0.16911334337020117,ARML3
Gradient Boosting,1.904139075180434,0.14497182450006493,ARML3
Decision Tree,0.451632936173697,0.03940962079136257,AURE3
KNN,0.44840200867189295,0.03556623558623589,AURE3
MLP,0.25065662900122837,0.02026353657878096,AURE3
Random Forest,0.3532349087549334,0.028092634790151862,AURE3
AdaBoost,0.40208502813965985,0.033026906714208326,AURE3
Gradient Boosting,0.39034066922429783,0.029744699913667672,AURE3
Decision Tree,7.733112794075099,0.15461064753394854,B3SA3
KNN,7.555909959253796,0.14089689281343898,B3SA3
