date,stock,Prediction,Model,Margin_prediction,Sharpe,Sortino
1,TFCO4,10.270722934177964,KNN,0.1458219720201852,-0.05763545923778512,-0.09189873267576398
2,TFCO4,10.153825487409325,KNN,0.1458219720201852,-0.05763545923778512,-0.09189873267576398
3,TFCO4,10.281524794442332,KNN,0.1458219720201852,-0.05763545923778512,-0.09189873267576398
4,TFCO4,10.516813414437436,KNN,0.1458219720201852,-0.05763545923778512,-0.09189873267576398
5,TFCO4,10.507187570844383,KNN,0.1458219720201852,-0.05763545923778512,-0.09189873267576398
1,LEVE3,28.70079406648064,MLP,0.02116435586302714,-0.01676852514125667,-0.022321803573434978
2,LEVE3,28.53289250230528,MLP,0.02116435586302714,-0.01676852514125667,-0.022321803573434978
3,LEVE3,28.519456848696084,MLP,0.02116435586302714,-0.01676852514125667,-0.022321803573434978
4,LEVE3,28.29794343396457,MLP,0.02116435586302714,-0.01676852514125667,-0.022321803573434978
5,LEVE3,28.082019786233246,MLP,0.02116435586302714,-0.01676852514125667,-0.022321803573434978
1,AURE3,10.092196056850016,MLP,0.011327401913780706,-0.0752994559794123,-0.11750236185904887
2,AURE3,10.085269674707783,MLP,0.011327401913780706,-0.0752994559794123,-0.11750236185904887
3,AURE3,10.086292290047547,MLP,0.011327401913780706,-0.0752994559794123,-0.11750236185904887
4,AURE3,9.929918907267316,MLP,0.011327401913780706,-0.0752994559794123,-0.11750236185904887
5,AURE3,10.002028352138996,MLP,0.011327401913780706,-0.0752994559794123,-0.11750236185904887
1,DIRR3,30.797109180527997,MLP,0.008111410068654606,0.13431655377124563,0.24998038464808905
2,DIRR3,30.75398080231849,MLP,0.008111410068654606,0.13431655377124563,0.24998038464808905
3,DIRR3,30.177055064345392,MLP,0.008111410068654606,0.13431655377124563,0.24998038464808905
4,DIRR3,29.467354608965888,MLP,0.008111410068654606,0.13431655377124563,0.24998038464808905
5,DIRR3,30.122368086810635,MLP,0.008111410068654606,0.13431655377124563,0.24998038464808905
1,CSAN3,11.427130563698483,MLP,0.0077779017292675815,-0.06617471186753722,-0.11428410439424133
2,CSAN3,11.505701898741506,MLP,0.0077779017292675815,-0.06617471186753722,-0.11428410439424133
3,CSAN3,11.379144645184562,MLP,0.0077779017292675815,-0.06617471186753722,-0.11428410439424133
4,CSAN3,11.154912391509477,MLP,0.0077779017292675815,-0.06617471186753722,-0.11428410439424133
5,CSAN3,11.085556919021943,MLP,0.0077779017292675815,-0.06617471186753722,-0.11428410439424133
