Algorithm,RMSE,Ticker
Decision Tree,2.907268847285085,ABEV3
KNN,2.903928530793714,ABEV3
MLP,2.9110364207835335,ABEV3
Random Forest,2.896125687510976,ABEV3
AdaBoost,2.935128524558756,ABEV3
Gradient Boosting,2.905154254846699,ABEV3
Decision Tree,0.5843839220491126,AGRO3
KNN,0.5503631705639832,AGRO3
MLP,0.5299921960132158,AGRO3
Random Forest,0.5514466911125718,AGRO3
AdaBoost,0.5276732796213385,AGRO3
Gradient Boosting,0.5405888502219292,AGRO3
Decision Tree,559.2842852411047,ALOS3
KNN,559.2561812104491,ALOS3
MLP,559.3028730164925,ALOS3
Random Forest,559.2845666484661,ALOS3
AdaBoost,559.2767193124084,ALOS3
Gradient Boosting,559.2798526222298,ALOS3
Decision Tree,3.144083755753453,AMER3
KNN,3.1579487768200742,AMER3
MLP,51.51561566409458,AMER3
Random Forest,3.1457757124963877,AMER3
AdaBoost,36.68113253128229,AMER3
Gradient Boosting,3.2140627195374956,AMER3
Decision Tree,1.562666312328117,ARML3
KNN,1.5023761833579024,ARML3
MLP,1.5111332912435271,ARML3
Random Forest,1.5325326863377142,ARML3
AdaBoost,1.8421485185768216,ARML3
Gradient Boosting,1.5641893628270083,ARML3
Decision Tree,0.18727875204725136,AURE3
KNN,0.23824018751633774,AURE3
MLP,0.17685983129708982,AURE3
Random Forest,0.19903321539544525,AURE3
AdaBoost,0.3724359257743026,AURE3
Gradient Boosting,0.22680834232828123,AURE3
Decision Tree,4.209904269560128,B3SA3
KNN,4.197497930219966,B3SA3
MLP,4.251446760488209,B3SA3
Random Forest,4.198719094116029,B3SA3
AdaBoost,4.145844164709461,B3SA3
Gradient Boosting,4.185425919803636,B3SA3
Decision Tree,0.965891178759838,BLAU3
KNN,0.9877678686387068,BLAU3
MLP,1.0030887425248942,BLAU3
Random Forest,0.9418041581101392,BLAU3
AdaBoost,1.1124603109757671,BLAU3
Gradient Boosting,0.9441440801338719,BLAU3
Decision Tree,1.3737091447245326,CMIG3
KNN,1.3610220394647492,CMIG3
MLP,1.3407393856211254,CMIG3
Random Forest,1.3541755653329475,CMIG3
AdaBoost,1.3895679825092722,CMIG3
Gradient Boosting,1.3480342983228089,CMIG3
Decision Tree,2.592925514777027,CMIG4
KNN,2.568761577645692,CMIG4
MLP,2.5949874263037636,CMIG4
Random Forest,2.5798103616206616,CMIG4
AdaBoost,2.616568038822918,CMIG4
Gradient Boosting,2.5775262709298774,CMIG4
Decision Tree,4.896319328824383,CPFE3
KNN,4.9624495452559305,CPFE3
MLP,4.869692748340521,CPFE3
Random Forest,4.91942139006523,CPFE3
AdaBoost,4.9197275882793265,CPFE3
Gradient Boosting,4.894208476202381,CPFE3
Decision Tree,0.41005452246622137,CPLE3
KNN,0.4131930693952832,CPLE3
MLP,0.4096305716281507,CPLE3
Random Forest,0.40630506196167643,CPLE3
AdaBoost,0.5000703720408752,CPLE3
Gradient Boosting,0.4049686539708682,CPLE3
Decision Tree,2.1281929092613767,CPLE6
KNN,2.1282150031253546,CPLE6
MLP,2.122134121392609,CPLE6
Random Forest,2.1169116820050053,CPLE6
AdaBoost,2.1582468373920394,CPLE6
Gradient Boosting,2.124189124964341,CPLE6
Decision Tree,0.9474600297454467,CSAN3
